#miRNA	read_count	precursor	total	s06	s07	s09	s10	s13	s14	s23	s24	s26	s28	s35	s36	s39	s47	s48	s51	s52	s60	s61	s63	s72	s74	s75	s85	s86	s87	s88	s06(norm)	s07(norm)	s09(norm)	s10(norm)	s13(norm)	s14(norm)	s23(norm)	s24(norm)	s26(norm)	s28(norm)	s35(norm)	s36(norm)	s39(norm)	s47(norm)	s48(norm)	s51(norm)	s52(norm)	s60(norm)	s61(norm)	s63(norm)	s72(norm)	s74(norm)	s75(norm)	s85(norm)	s86(norm)	s87(norm)	s88(norm)
Montipora_capitata_HIv3___Scaffold_11_796076	33.00	Montipora_capitata_HIv3___Scaffold_11_787579	33.00	0	0	4.00	0	5.00	0	7.00	0	0	0	1.00	0	0	0	0	0	6.00	7.00	0	0	2.00	0	0	1.00	0	0	0	0	0	873.17	0	774.83	0	392.91	0	0	0	31.65	0	0	0	0	0	330.23	386.57	0	0	175.99	0	0	103.92	0	0	0
Montipora_capitata_HIv3___Scaffold_11_787579	33.00	Montipora_capitata_HIv3___Scaffold_11_787579	33.00	0	0	4.00	0	5.00	0	7.00	0	0	0	1.00	0	0	0	0	0	6.00	7.00	0	0	2.00	0	0	1.00	0	0	0	0	0	873.17	0	774.83	0	392.91	0	0	0	31.65	0	0	0	0	0	330.23	386.57	0	0	175.99	0	0	103.92	0	0	0
Montipora_capitata_HIv3___Scaffold_11_816162	33.00	Montipora_capitata_HIv3___Scaffold_11_787579	33.00	0	0	4.00	0	5.00	0	7.00	0	0	0	1.00	0	0	0	0	0	6.00	7.00	0	0	2.00	0	0	1.00	0	0	0	0	0	873.17	0	774.83	0	392.91	0	0	0	31.65	0	0	0	0	0	330.23	386.57	0	0	175.99	0	0	103.92	0	0	0
Montipora_capitata_HIv3___Scaffold_11_796076	33.00	Montipora_capitata_HIv3___Scaffold_11_796076	33.00	0	0	4.00	0	5.00	0	7.00	0	0	0	1.00	0	0	0	0	0	6.00	7.00	0	0	2.00	0	0	1.00	0	0	0	0	0	873.17	0	774.83	0	392.91	0	0	0	31.65	0	0	0	0	0	330.23	386.57	0	0	175.99	0	0	103.92	0	0	0
Montipora_capitata_HIv3___Scaffold_11_787579	33.00	Montipora_capitata_HIv3___Scaffold_11_796076	33.00	0	0	4.00	0	5.00	0	7.00	0	0	0	1.00	0	0	0	0	0	6.00	7.00	0	0	2.00	0	0	1.00	0	0	0	0	0	873.17	0	774.83	0	392.91	0	0	0	31.65	0	0	0	0	0	330.23	386.57	0	0	175.99	0	0	103.92	0	0	0
Montipora_capitata_HIv3___Scaffold_11_816162	33.00	Montipora_capitata_HIv3___Scaffold_11_796076	33.00	0	0	4.00	0	5.00	0	7.00	0	0	0	1.00	0	0	0	0	0	6.00	7.00	0	0	2.00	0	0	1.00	0	0	0	0	0	873.17	0	774.83	0	392.91	0	0	0	31.65	0	0	0	0	0	330.23	386.57	0	0	175.99	0	0	103.92	0	0	0
Montipora_capitata_HIv3___Scaffold_11_801837	85.00	Montipora_capitata_HIv3___Scaffold_11_801837	85.00	0	0	0	0	3.00	0	2.00	0	0	0	18.00	0	0	0	0	0	16.00	10.00	0	0	30.00	0	0	6.00	0	0	0	0	0	0	0	464.90	0	112.26	0	0	0	569.67	0	0	0	0	0	880.62	552.24	0	0	2639.92	0	0	623.51	0	0	0
Montipora_capitata_HIv3___Scaffold_11_796076	33.00	Montipora_capitata_HIv3___Scaffold_11_816162	33.00	0	0	4.00	0	5.00	0	7.00	0	0	0	1.00	0	0	0	0	0	6.00	7.00	0	0	2.00	0	0	1.00	0	0	0	0	0	873.17	0	774.83	0	392.91	0	0	0	31.65	0	0	0	0	0	330.23	386.57	0	0	175.99	0	0	103.92	0	0	0
Montipora_capitata_HIv3___Scaffold_11_787579	33.00	Montipora_capitata_HIv3___Scaffold_11_816162	33.00	0	0	4.00	0	5.00	0	7.00	0	0	0	1.00	0	0	0	0	0	6.00	7.00	0	0	2.00	0	0	1.00	0	0	0	0	0	873.17	0	774.83	0	392.91	0	0	0	31.65	0	0	0	0	0	330.23	386.57	0	0	175.99	0	0	103.92	0	0	0
Montipora_capitata_HIv3___Scaffold_11_816162	33.00	Montipora_capitata_HIv3___Scaffold_11_816162	33.00	0	0	4.00	0	5.00	0	7.00	0	0	0	1.00	0	0	0	0	0	6.00	7.00	0	0	2.00	0	0	1.00	0	0	0	0	0	873.17	0	774.83	0	392.91	0	0	0	31.65	0	0	0	0	0	330.23	386.57	0	0	175.99	0	0	103.92	0	0	0
Montipora_capitata_HIv3___Scaffold_11_826703	1274.00	Montipora_capitata_HIv3___Scaffold_11_826703	1274.00	0	0	36.00	0	70.00	0	232.00	0	0	0	390.00	0	0	0	0	0	285.00	192.00	0	0	56.00	0	0	13.00	0	0	0	0	0	7858.55	0	10847.67	0	13022.00	0	0	0	12342.94	0	0	0	0	0	15686.06	10603.05	0	0	4927.84	0	0	1350.93	0	0	0
Montipora_capitata_HIv3___Scaffold_10_729473	1274.00	Montipora_capitata_HIv3___Scaffold_11_826703	1274.00	0	0	36.00	0	70.00	0	232.00	0	0	0	390.00	0	0	0	0	0	285.00	192.00	0	0	56.00	0	0	13.00	0	0	0	0	0	7858.55	0	10847.67	0	13022.00	0	0	0	12342.94	0	0	0	0	0	15686.06	10603.05	0	0	4927.84	0	0	1350.93	0	0	0
Montipora_capitata_HIv3___Scaffold_151_1075760	1274.00	Montipora_capitata_HIv3___Scaffold_11_826703	1274.00	0	0	36.00	0	70.00	0	232.00	0	0	0	390.00	0	0	0	0	0	285.00	192.00	0	0	56.00	0	0	13.00	0	0	0	0	0	7858.55	0	10847.67	0	13022.00	0	0	0	12342.94	0	0	0	0	0	15686.06	10603.05	0	0	4927.84	0	0	1350.93	0	0	0
Montipora_capitata_HIv3___Scaffold_11_841599	80.00	Montipora_capitata_HIv3___Scaffold_11_841599	80.00	0	0	5.00	0	25.00	0	3.00	0	0	0	10.00	0	0	0	0	0	5.00	7.00	0	0	10.00	0	0	15.00	0	0	0	0	0	1091.46	0	3874.17	0	168.39	0	0	0	316.49	0	0	0	0	0	275.19	386.57	0	0	879.97	0	0	1558.77	0	0	0
Montipora_capitata_HIv3___Scaffold_11_759461	1245.00	Montipora_capitata_HIv3___Scaffold_12_859123	1245.00	0	0	0	0	3.00	0	2.00	0	0	0	2.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1238.00	0	0	0	0	464.90	0	112.26	0	0	0	63.30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	249949.53
Montipora_capitata_HIv3___Scaffold_12_859123	1245.00	Montipora_capitata_HIv3___Scaffold_12_859123	1245.00	0	0	0	0	3.00	0	2.00	0	0	0	2.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1238.00	0	0	0	0	464.90	0	112.26	0	0	0	63.30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	249949.53
Montipora_capitata_HIv3___Scaffold_12_910953	339.00	Montipora_capitata_HIv3___Scaffold_12_910953	339.00	0	0	6.00	0	21.00	0	15.00	0	0	0	18.00	0	0	0	0	0	28.00	24.00	0	0	55.00	0	0	170.00	1.00	0	1.00	0	0	1309.76	0	3254.30	0	841.94	0	0	0	569.67	0	0	0	0	0	1541.09	1325.38	0	0	4839.85	0	0	17666.01	333333.33	0	201.90
Montipora_capitata_HIv3___Scaffold_13_949160	118.00	Montipora_capitata_HIv3___Scaffold_13_949160	118.00	0	0	18.00	0	37.00	0	6.00	0	0	0	25.00	0	0	0	0	0	5.00	16.00	0	0	5.00	0	0	6.00	0	0	0	0	0	3929.27	0	5733.77	0	336.78	0	0	0	791.21	0	0	0	0	0	275.19	883.59	0	0	439.99	0	0	623.51	0	0	0
Montipora_capitata_HIv3___Scaffold_13_954675	373.00	Montipora_capitata_HIv3___Scaffold_13_954675	373.00	0	0	13.00	0	25.00	4.00	21.00	0	0	0	31.00	0	0	0	0	0	19.00	36.00	0	174.00	17.00	0	0	15.00	0	18.00	0	0	0	2837.81	0	3874.17	12012.01	1178.72	0	0	0	981.11	0	0	0	0	0	1045.74	1988.07	0	5119.45	1495.95	0	0	1558.77	0	3881.82	0
Montipora_capitata_HIv3___Scaffold_14_1017829	904.00	Montipora_capitata_HIv3___Scaffold_14_1017829	904.00	2.00	0	126.00	0	115.00	0	151.00	0	0	0	135.00	0	0	0	0	0	186.00	86.00	0	0	78.00	0	0	25.00	0	0	0	1000000.00	0	27504.91	0	17821.17	0	8475.53	0	0	0	4272.56	0	0	0	0	0	10237.22	4749.28	0	0	6863.78	0	0	2597.94	0	0	0
Montipora_capitata_HIv3___Scaffold_14_1018693	1222.00	Montipora_capitata_HIv3___Scaffold_14_1018693	1222.00	0	0	85.00	0	49.00	0	94.00	0	0	0	215.00	0	0	0	0	0	214.00	212.00	0	0	271.00	0	0	82.00	0	0	0	0	0	18554.90	0	7593.37	0	5276.16	0	0	0	6804.44	0	0	0	0	0	11778.30	11707.53	0	0	23847.24	0	0	8521.25	0	0	0
Montipora_capitata_HIv3___Scaffold_14_992284	48.00	Montipora_capitata_HIv3___Scaffold_14_992284	48.00	0	0	0	0	1.00	0	1.00	0	0	0	1.00	0	0	0	0	0	0	0	0	0	18.00	0	0	27.00	0	0	0	0	0	0	0	154.97	0	56.13	0	0	0	31.65	0	0	0	0	0	0	0	0	0	1583.95	0	0	2805.78	0	0	0
Montipora_capitata_HIv3___Scaffold_14_994729	196.00	Montipora_capitata_HIv3___Scaffold_14_994729	196.00	0	0	13.00	0	37.00	0	30.00	0	0	0	41.00	0	0	0	0	0	31.00	24.00	0	0	15.00	0	0	5.00	0	0	0	0	0	2837.81	0	5733.77	0	1683.88	0	0	0	1297.59	0	0	0	0	0	1706.20	1325.38	0	0	1319.96	0	0	519.59	0	0	0
Montipora_capitata_HIv3___Scaffold_14_999529	152.00	Montipora_capitata_HIv3___Scaffold_14_999529	152.00	0	0	8.00	0	7.00	0	17.00	0	0	0	18.00	0	0	0	0	0	25.00	19.00	0	0	35.00	0	0	23.00	0	0	0	0	0	1746.34	0	1084.77	0	954.20	0	0	0	569.67	0	0	0	0	0	1375.97	1049.26	0	0	3079.90	0	0	2390.11	0	0	0
Montipora_capitata_HIv3___Scaffold_11_826703	1274.00	Montipora_capitata_HIv3___Scaffold_151_1075760	1274.00	0	0	36.00	0	70.00	0	232.00	0	0	0	390.00	0	0	0	0	0	285.00	192.00	0	0	56.00	0	0	13.00	0	0	0	0	0	7858.55	0	10847.67	0	13022.00	0	0	0	12342.94	0	0	0	0	0	15686.06	10603.05	0	0	4927.84	0	0	1350.93	0	0	0
Montipora_capitata_HIv3___Scaffold_10_729473	1274.00	Montipora_capitata_HIv3___Scaffold_151_1075760	1274.00	0	0	36.00	0	70.00	0	232.00	0	0	0	390.00	0	0	0	0	0	285.00	192.00	0	0	56.00	0	0	13.00	0	0	0	0	0	7858.55	0	10847.67	0	13022.00	0	0	0	12342.94	0	0	0	0	0	15686.06	10603.05	0	0	4927.84	0	0	1350.93	0	0	0
Montipora_capitata_HIv3___Scaffold_151_1075760	1274.00	Montipora_capitata_HIv3___Scaffold_151_1075760	1274.00	0	0	36.00	0	70.00	0	232.00	0	0	0	390.00	0	0	0	0	0	285.00	192.00	0	0	56.00	0	0	13.00	0	0	0	0	0	7858.55	0	10847.67	0	13022.00	0	0	0	12342.94	0	0	0	0	0	15686.06	10603.05	0	0	4927.84	0	0	1350.93	0	0	0
Montipora_capitata_HIv3___Scaffold_1_35393	63.00	Montipora_capitata_HIv3___Scaffold_1_35393	63.00	0	0	7.00	0	4.00	0	8.00	0	0	0	9.00	0	0	0	0	0	6.00	7.00	0	0	16.00	0	0	6.00	0	0	0	0	0	1528.05	0	619.87	0	449.03	0	0	0	284.84	0	0	0	0	0	330.23	386.57	0	0	1407.95	0	0	623.51	0	0	0
Montipora_capitata_HIv3___Scaffold_1_4183	631.00	Montipora_capitata_HIv3___Scaffold_1_4183	631.00	0	0	0	0	1.00	0	2.00	0	0	0	3.00	0	0	0	0	0	4.00	10.00	0	0	250.00	0	0	361.00	0	0	0	0	0	0	0	154.97	0	112.26	0	0	0	94.95	0	0	0	0	0	220.16	552.24	0	0	21999.30	0	0	37514.29	0	0	0
Montipora_capitata_HIv3___Scaffold_2_124999	1041.00	Montipora_capitata_HIv3___Scaffold_2_124999	1041.00	0	0	17.00	0	42.00	0	20.00	0	0	0	47.00	0	0	0	0	0	151.00	96.00	0	0	203.00	0	0	465.00	0	0	0	0	0	3710.98	0	6508.60	0	1122.59	0	0	0	1487.48	0	0	0	0	0	8310.86	5301.52	0	0	17863.43	0	0	48321.73	0	0	0
Montipora_capitata_HIv3___Scaffold_2_64557	102.00	Montipora_capitata_HIv3___Scaffold_2_64557	102.00	0	2.00	2.00	0	0	1.00	1.00	0	3.00	0	10.00	8.00	0	2.00	1.00	0	10.00	7.00	0	0	17.00	0	0	38.00	0	0	0	0	1000000.00	436.59	0	0	3003.00	56.13	0	1000000.00	0	316.49	1000000.00	0	1000000.00	1000000.00	0	550.39	386.57	0	0	1495.95	0	0	3948.87	0	0	0
Montipora_capitata_HIv3___Scaffold_2_67225	56.00	Montipora_capitata_HIv3___Scaffold_2_67225	56.00	0	0	1.00	0	1.00	0	0	0	0	0	2.00	0	0	0	0	0	11.00	11.00	0	0	12.00	0	0	18.00	0	0	0	0	0	218.29	0	154.97	0	0	0	0	0	63.30	0	0	0	0	0	605.43	607.47	0	0	1055.97	0	0	1870.52	0	0	0
Montipora_capitata_HIv3___Scaffold_2_71488	2100.00	Montipora_capitata_HIv3___Scaffold_2_71488	2100.00	0	0	288.00	0	202.00	0	291.00	0	0	0	361.00	0	0	0	0	0	398.00	280.00	0	0	210.00	0	0	70.00	0	0	0	0	0	62868.37	0	31303.27	0	16333.63	0	0	0	11425.14	0	0	0	0	0	21905.44	15462.78	0	0	18479.41	0	0	7274.24	0	0	0
Montipora_capitata_HIv3___Scaffold_5_322659	113.00	Montipora_capitata_HIv3___Scaffold_2_87665	113.00	0	0	11.00	0	13.00	0	13.00	0	0	0	11.00	0	0	0	0	0	13.00	14.00	0	0	12.00	0	0	26.00	0	0	0	0	0	2401.22	0	2014.57	0	729.68	0	0	0	348.13	0	0	0	0	0	715.50	773.14	0	0	1055.97	0	0	2701.86	0	0	0
Montipora_capitata_HIv3___Scaffold_6_419669	113.00	Montipora_capitata_HIv3___Scaffold_2_87665	113.00	0	0	11.00	0	13.00	0	13.00	0	0	0	11.00	0	0	0	0	0	13.00	14.00	0	0	12.00	0	0	26.00	0	0	0	0	0	2401.22	0	2014.57	0	729.68	0	0	0	348.13	0	0	0	0	0	715.50	773.14	0	0	1055.97	0	0	2701.86	0	0	0
Montipora_capitata_HIv3___Scaffold_10_645863	113.00	Montipora_capitata_HIv3___Scaffold_2_87665	113.00	0	0	11.00	0	13.00	0	13.00	0	0	0	11.00	0	0	0	0	0	13.00	14.00	0	0	12.00	0	0	26.00	0	0	0	0	0	2401.22	0	2014.57	0	729.68	0	0	0	348.13	0	0	0	0	0	715.50	773.14	0	0	1055.97	0	0	2701.86	0	0	0
Montipora_capitata_HIv3___Scaffold_2_87665	113.00	Montipora_capitata_HIv3___Scaffold_2_87665	113.00	0	0	11.00	0	13.00	0	13.00	0	0	0	11.00	0	0	0	0	0	13.00	14.00	0	0	12.00	0	0	26.00	0	0	0	0	0	2401.22	0	2014.57	0	729.68	0	0	0	348.13	0	0	0	0	0	715.50	773.14	0	0	1055.97	0	0	2701.86	0	0	0
Montipora_capitata_HIv3___Scaffold_2_96328	709.00	Montipora_capitata_HIv3___Scaffold_2_96328	709.00	0	0	2.00	0	4.00	0	5.00	0	0	0	101.00	0	0	0	0	0	139.00	177.00	0	0	187.00	0	0	94.00	0	0	0	0	0	436.59	0	619.87	0	280.65	0	0	0	3196.51	0	0	0	0	0	7650.39	9774.69	0	0	16455.47	0	0	9768.26	0	0	0
Montipora_capitata_HIv3___Scaffold_2_98529	7107.00	Montipora_capitata_HIv3___Scaffold_2_98529	7107.00	0	0	110.00	0	61.00	0	135.00	0	0	0	384.00	0	0	0	0	0	1307.00	947.00	0	0	2139.00	0	0	2022.00	2.00	0	0	0	0	24012.22	0	9452.97	0	7577.46	0	0	0	12153.05	0	0	0	0	0	71935.71	52297.33	0	0	188225.98	0	0	210121.58	666666.67	0	0
Montipora_capitata_HIv3___Scaffold_3_149822	94.00	Montipora_capitata_HIv3___Scaffold_3_149822	94.00	0	0	2.00	0	5.00	0	0	0	0	0	16.00	0	0	0	0	0	37.00	20.00	0	0	12.00	0	0	2.00	0	0	0	0	0	436.59	0	774.83	0	0	0	0	0	506.38	0	0	0	0	0	2036.44	1104.48	0	0	1055.97	0	0	207.84	0	0	0
Montipora_capitata_HIv3___Scaffold_4_232369	59.00	Montipora_capitata_HIv3___Scaffold_4_232369	59.00	0	0	1.00	0	0	0	1.00	0	0	0	8.00	0	0	0	0	0	17.00	16.00	0	0	13.00	0	0	3.00	0	0	0	0	0	218.29	0	0	0	56.13	0	0	0	253.19	0	0	0	0	0	935.66	883.59	0	0	1143.96	0	0	311.75	0	0	0
Montipora_capitata_HIv3___Scaffold_4_264216	36635.00	Montipora_capitata_HIv3___Scaffold_4_264216	36635.00	0	0	126.00	0	428.00	0	7454.00	1.00	0	0	16950.00	0	0	0	0	1.00	5963.00	4791.00	0	0	550.00	0	0	371.00	0	0	0	0	0	27504.91	0	66325.74	0	418387.97	333333.33	0	0	536443.33	0	0	0	0	1000000.00	328196.38	264579.19	0	0	48398.45	0	0	38553.47	0	0	0
Montipora_capitata_HIv3___Scaffold_4_291272	258.00	Montipora_capitata_HIv3___Scaffold_4_291272	258.00	0	0	0	0	0	0	4.00	0	0	0	15.00	0	0	0	0	0	67.00	53.00	0	0	80.00	0	0	39.00	0	0	0	0	0	0	0	0	0	224.52	0	0	0	474.73	0	0	0	0	0	3687.60	2926.88	0	0	7039.77	0	0	4052.79	0	0	0
Montipora_capitata_HIv3___Scaffold_5_307262	38.00	Montipora_capitata_HIv3___Scaffold_5_307262	38.00	0	0	0	0	8.00	0	2.00	0	0	0	4.00	0	0	0	0	0	2.00	7.00	0	0	11.00	0	0	4.00	0	0	0	0	0	0	0	1239.73	0	112.26	0	0	0	126.59	0	0	0	0	0	110.08	386.57	0	0	967.97	0	0	415.67	0	0	0
Montipora_capitata_HIv3___Scaffold_5_309429	660.00	Montipora_capitata_HIv3___Scaffold_5_309429	660.00	0	0	46.00	0	58.00	0	28.00	0	0	0	113.00	0	0	0	0	0	91.00	83.00	0	0	87.00	0	0	154.00	0	0	0	0	0	10041.48	0	8988.07	0	1571.62	0	0	0	3576.29	0	0	0	0	0	5008.53	4583.61	0	0	7655.76	0	0	16003.33	0	0	0
Montipora_capitata_HIv3___Scaffold_5_310446	29.00	Montipora_capitata_HIv3___Scaffold_5_310446	29.00	0	0	0	0	0	14.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.00	0	0	11.00	0	0	0	0	0	0	42042.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20408.16	0	0	2372.22	0
Montipora_capitata_HIv3___Scaffold_5_322659	113.00	Montipora_capitata_HIv3___Scaffold_5_322659	113.00	0	0	11.00	0	13.00	0	13.00	0	0	0	11.00	0	0	0	0	0	13.00	14.00	0	0	12.00	0	0	26.00	0	0	0	0	0	2401.22	0	2014.57	0	729.68	0	0	0	348.13	0	0	0	0	0	715.50	773.14	0	0	1055.97	0	0	2701.86	0	0	0
Montipora_capitata_HIv3___Scaffold_6_419669	113.00	Montipora_capitata_HIv3___Scaffold_5_322659	113.00	0	0	11.00	0	13.00	0	13.00	0	0	0	11.00	0	0	0	0	0	13.00	14.00	0	0	12.00	0	0	26.00	0	0	0	0	0	2401.22	0	2014.57	0	729.68	0	0	0	348.13	0	0	0	0	0	715.50	773.14	0	0	1055.97	0	0	2701.86	0	0	0
Montipora_capitata_HIv3___Scaffold_10_645863	113.00	Montipora_capitata_HIv3___Scaffold_5_322659	113.00	0	0	11.00	0	13.00	0	13.00	0	0	0	11.00	0	0	0	0	0	13.00	14.00	0	0	12.00	0	0	26.00	0	0	0	0	0	2401.22	0	2014.57	0	729.68	0	0	0	348.13	0	0	0	0	0	715.50	773.14	0	0	1055.97	0	0	2701.86	0	0	0
Montipora_capitata_HIv3___Scaffold_2_87665	113.00	Montipora_capitata_HIv3___Scaffold_5_322659	113.00	0	0	11.00	0	13.00	0	13.00	0	0	0	11.00	0	0	0	0	0	13.00	14.00	0	0	12.00	0	0	26.00	0	0	0	0	0	2401.22	0	2014.57	0	729.68	0	0	0	348.13	0	0	0	0	0	715.50	773.14	0	0	1055.97	0	0	2701.86	0	0	0
Montipora_capitata_HIv3___Scaffold_5_365006	63.00	Montipora_capitata_HIv3___Scaffold_5_365006	63.00	0	0	10.00	0	13.00	0	8.00	0	0	0	9.00	0	0	0	0	0	7.00	6.00	0	0	7.00	0	0	3.00	0	0	0	0	0	2182.93	0	2014.57	0	449.03	0	0	0	284.84	0	0	0	0	0	385.27	331.35	0	0	615.98	0	0	311.75	0	0	0
Montipora_capitata_HIv3___Scaffold_5_375083	221.00	Montipora_capitata_HIv3___Scaffold_5_375083	221.00	0	0	11.00	0	29.00	0	26.00	0	0	0	42.00	0	0	0	0	0	48.00	43.00	0	0	16.00	0	0	6.00	0	0	0	0	0	2401.22	0	4494.03	0	1459.36	0	0	0	1329.24	0	0	0	0	0	2641.86	2374.64	0	0	1407.95	0	0	623.51	0	0	0
Montipora_capitata_HIv3___Scaffold_6_400996	477.00	Montipora_capitata_HIv3___Scaffold_6_400996	477.00	0	0	4.00	0	19.00	1.00	26.00	0	0	0	121.00	0	0	0	0	0	88.00	80.00	0	0	61.00	0	0	77.00	0	0	0	0	0	873.17	0	2944.37	3003.00	1459.36	0	0	0	3829.48	0	0	0	0	0	4843.41	4417.94	0	0	5367.83	0	0	8001.66	0	0	0
Montipora_capitata_HIv3___Scaffold_5_322659	113.00	Montipora_capitata_HIv3___Scaffold_6_419669	113.00	0	0	11.00	0	13.00	0	13.00	0	0	0	11.00	0	0	0	0	0	13.00	14.00	0	0	12.00	0	0	26.00	0	0	0	0	0	2401.22	0	2014.57	0	729.68	0	0	0	348.13	0	0	0	0	0	715.50	773.14	0	0	1055.97	0	0	2701.86	0	0	0
