"","GO.ID","Term","Annotated","Significant","Expected","Fisher","ontology","X.query"
"1","GO:0015833","peptide transport",1246,668,523.3,1.5e-18,"Biological Processes","Montipora_capitata_HIv3___RNAseq.g40850.t1"
"2","GO:0015833","peptide transport",1246,668,523.3,1.5e-18,"Biological Processes","Montipora_capitata_HIv3___RNAseq.g19349.t1"
"3","GO:0015833","peptide transport",1246,668,523.3,1.5e-18,"Biological Processes","Montipora_capitata_HIv3___RNAseq.g7483.t1"
"4","GO:0015833","peptide transport",1246,668,523.3,1.5e-18,"Biological Processes","Montipora_capitata_HIv3___TS.g47812.t1"
"5","GO:0015833","peptide transport",1246,668,523.3,1.5e-18,"Biological Processes","Montipora_capitata_HIv3___RNAseq.33576_t"
"6","GO:0015833","peptide transport",1246,668,523.3,1.5e-18,"Biological Processes","Montipora_capitata_HIv3___RNAseq.g7718.t1"
"7","GO:0015833","peptide transport",1246,668,523.3,1.5e-18,"Biological Processes","Montipora_capitata_HIv3___RNAseq.g13251.t1"
"8","GO:0015833","peptide transport",1246,668,523.3,1.5e-18,"Biological Processes","Montipora_capitata_HIv3___TS.g3836.t1"
"9","GO:0015833","peptide transport",1246,668,523.3,1.5e-18,"Biological Processes","Montipora_capitata_HIv3___RNAseq.g40603.t1"
"10","GO:0015833","peptide transport",1246,668,523.3,1.5e-18,"Biological Processes","Montipora_capitata_HIv3___RNAseq.g23498.t1"
"11","GO:0015833","peptide transport",1246,668,523.3,1.5e-18,"Biological Processes","Montipora_capitata_HIv3___RNAseq.g29536.t1"
"12","GO:0015833","peptide transport",1246,668,523.3,1.5e-18,"Biological Processes","Montipora_capitata_HIv3___RNAseq.g42740.t1"
"13","GO:0015833","peptide transport",1246,668,523.3,1.5e-18,"Biological Processes","Montipora_capitata_HIv3___RNAseq.g18634.t1"
"14","GO:0015833","peptide transport",1246,668,523.3,1.5e-18,"Biological Processes","Montipora_capitata_HIv3___RNAseq.g11583.t1"
"15","GO:0015833","peptide transport",1246,668,523.3,1.5e-18,"Biological Processes","Montipora_capitata_HIv3___RNAseq.g17822.t1"
"16","GO:0015833","peptide transport",1246,668,523.3,1.5e-18,"Biological Processes","Montipora_capitata_HIv3___RNAseq.g39781.t1"
"17","GO:0015833","peptide transport",1246,668,523.3,1.5e-18,"Biological Processes","Montipora_capitata_HIv3___TS.g13874.t1"
"18","GO:0015833","peptide transport",1246,668,523.3,1.5e-18,"Biological Processes","Montipora_capitata_HIv3___RNAseq.g26789.t1"
"19","GO:0015833","peptide transport",1246,668,523.3,1.5e-18,"Biological Processes","Montipora_capitata_HIv3___RNAseq.g35276.t1"
