FalconID,DateLoaded,TimeLoaded,TimeIntoIncubator,Volume_uL,IncubatorNumber,Treatment
7,20230617,22:50,23:05,200,1,Ambient
19,20230617,22:50,23:05,200,1,Ambient
39,20230617,22:50,23:05,200,1,Ambient
184,20230617,22:50,23:05,200,1,Ambient
14,20230617,22:50,23:05,Blank,1,Ambient
9,20230617,22:50,23:05,200,1,Ambient
49,20230617,22:50,23:05,200,1,Ambient
33,20230617,22:50,23:05,200,1,Ambient
10,20230617,22:50,23:05,200,1,Ambient
29,20230617,22:50,23:05,200,1,Ambient
96,20230617,22:50,23:05,200,1,Ambient
56,20230617,22:50,23:05,200,1,Ambient
185,20230617,22:50,23:05,200,1,Ambient
38,20230617,22:50,23:05,200,1,Ambient
138,20230617,22:50,23:05,200,1,Ambient
126,20230617,22:50,23:05,200,1,Ambient
59,20230617,22:50,23:05,200,1,Ambient
69,20230617,22:50,23:05,200,1,Ambient
12,20230617,22:50,23:05,200,1,Ambient
95,20230617,22:50,23:05,200,1,Ambient
68,20230617,22:50,23:05,200,1,Ambient
26,20230617,22:50,23:05,200,1,Ambient
179,20230617,22:50,23:05,200,1,Ambient
22,20230617,22:50,23:05,200,1,Ambient
225,20230617,22:50,23:05,200,1,Ambient
47,20230617,23:39,23:53,Blank,2,High
85,20230617,23:39,23:53,200,2,High
54,20230617,23:39,23:53,200,2,High
53,20230617,23:39,23:53,200,2,High
90,20230617,23:39,23:53,200,2,High
40,20230617,23:39,23:53,200,2,High
6,20230617,23:39,23:53,200,2,High
76,20230617,23:39,23:53,200,2,High
152,20230617,23:39,23:53,200,2,High
202,20230617,23:39,23:53,200,2,High
32,20230617,23:39,23:53,200,2,High
110,20230617,23:39,23:53,200,2,High
81,20230617,23:39,23:53,200,2,High
13,20230617,23:39,23:53,200,2,High
17,20230617,23:39,23:53,200,2,High
51,20230617,23:39,23:53,200,2,High
100,20230617,23:39,23:53,200,2,High
5,20230617,23:39,23:53,200,2,High
48,20230617,23:39,23:53,200,2,High
89,20230617,23:39,23:53,200,2,High
18,20230617,23:39,23:53,200,2,High
37,20230617,23:39,23:53,200,2,High
4,20230617,23:39,23:53,200,2,High
77,20230617,23:39,23:53,200,2,High
125,20230617,23:39,23:53,200,2,High
44,20230617,23:05,23:20,Blank,3,High
91,20230617,0:05,0:20,200,3,High
73,20230617,1:05,1:20,200,3,High
93,20230617,2:05,2:20,200,3,High
92,20230617,3:05,3:20,200,3,High
42,20230617,4:05,4:20,200,3,High
84,20230617,5:05,5:20,200,3,High
61,20230617,6:05,6:20,200,3,High
11,20230617,7:05,7:20,200,3,High
108,20230617,8:05,8:20,200,3,High
67,20230617,9:05,9:20,200,3,High
98,20230617,10:05,10:20,200,3,High
150,20230617,11:05,11:20,200,3,High
189,20230617,12:05,12:20,200,3,High
66,20230617,13:05,13:20,200,3,High
155,20230617,14:05,14:20,200,3,High
80,20230617,15:05,15:20,200,3,High
99,20230617,16:05,16:20,200,3,High
75,20230617,17:05,17:20,200,3,High
27,20230617,18:05,18:20,200,3,High
97,20230617,19:05,19:20,200,3,High
158,20230617,20:05,20:20,200,3,High
87,20230617,21:05,21:20,200,3,High
15,20230617,22:05,22:20,200,3,High
57,20230617,23:05,23:20,200,3,High
78,20230617,23:25,23:39,200,4,Ambient
52,20230617,23:25,23:39,200,4,Ambient
58,20230617,23:25,23:39,200,4,Ambient
28,20230617,23:25,23:39,200,4,Ambient
74,20230617,23:25,23:39,200,4,Ambient
72,20230617,23:25,23:39,200,4,Ambient
3,20230617,23:25,23:39,200,4,Ambient
68,20230617,23:25,23:39,200,4,Ambient
23,20230617,23:25,23:39,200,4,Ambient
20,20230617,23:25,23:39,200,4,Ambient
64,20230617,23:25,23:39,200,4,Ambient
82,20230617,23:25,23:39,200,4,Ambient
62,20230617,23:25,23:39,200,4,Ambient
83,20230617,23:25,23:39,200,4,Ambient
71,20230617,23:25,23:39,200,4,Ambient
70,20230617,23:25,23:39,200,4,Ambient
36,20230617,23:25,23:39,200,4,Ambient
45,20230617,23:25,23:39,200,4,Ambient
34,20230617,23:25,23:39,200,4,Ambient
16,20230617,23:25,23:39,200,4,Ambient
193,20230617,23:25,23:39,200,4,Ambient
129,20230617,23:25,23:39,200,4,Ambient
8,20230617,23:25,23:39,200,4,Ambient
112,20230617,23:25,23:39,200,4,Ambient
31,20230617,23:25,23:39,200,4,Ambient
