"","X.query","GOs","Term","Annotated","Significant","Expected","Fisher","ontology","sig.prop"
"1","Montipora_capitata_HIv3___RNAseq.g15081.t1","GO:0007613","memory",176,71,68.05,0.00248,"Biological Processes",0.403409090909091
"2","Montipora_capitata_HIv3___RNAseq.g15081.t1","GO:0051604","protein maturation",404,203,156.21,0.00611,"Biological Processes",0.502475247524752
"3","Montipora_capitata_HIv3___RNAseq.g15081.t1","GO:0051716","cellular response to stimulus",3735,1387,1444.21,0.00407,"Biological Processes",0.371352074966533
"4","Montipora_capitata_HIv3___RNAseq.g39900.t1","GO:0051716","cellular response to stimulus",3735,1387,1444.21,0.00407,"Biological Processes",0.371352074966533
"5","Montipora_capitata_HIv3___RNAseq.g24161.t1","GO:0006885","regulation of pH",78,41,30.16,0.00329,"Biological Processes",0.525641025641026
"6","Montipora_capitata_HIv3___RNAseq.g24161.t1","GO:0015701","bicarbonate transport",22,15,8.51,0.0048,"Biological Processes",0.681818181818182
"7","Montipora_capitata_HIv3___TS.g11210.t1","GO:1901800","positive regulation of proteasomal protein cataboli...",110,33,42.53,0.00467,"Biological Processes",0.3
"8","Montipora_capitata_HIv3___RNAseq.g40850.t1","GO:0009152","purine ribonucleotide biosynthetic process",181,93,69.99,0.00795,"Biological Processes",0.513812154696133
"9","Montipora_capitata_HIv3___RNAseq.g40850.t1","GO:0009167","purine ribonucleoside monophosphate metabolic proce...",172,103,66.51,1.6e-07,"Biological Processes",0.598837209302326
"10","Montipora_capitata_HIv3___RNAseq.g40850.t1","GO:0009168","purine ribonucleoside monophosphate biosynthetic pr...",69,38,26.68,0.00068,"Biological Processes",0.550724637681159
"11","Montipora_capitata_HIv3___RNAseq.g40850.t1","GO:0015833","peptide transport",1173,476,453.56,0.00316,"Biological Processes",0.405797101449275
"12","Montipora_capitata_HIv3___RNAseq.g40850.t1","GO:0015988","energy coupled proton transmembrane transport, agai...",16,12,6.19,0.00349,"Biological Processes",0.75
"13","Montipora_capitata_HIv3___RNAseq.g40850.t1","GO:0046034","ATP metabolic process",191,107,73.85,1.3e-07,"Biological Processes",0.56020942408377
