Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
trim.flexbar.35bp.10_small_RNA_S4_R1_001	99.72768527984316	49.0	26.264934208315566	45.45454545454545	17319666.0
trim.flexbar.35bp.11_small_RNA_S5_R1_001	99.45408531137878	53.0	26.98398267229319	45.45454545454545	8702825.0
trim.flexbar.35bp.13_S76_R1_001	75.86262396451957	47.0	26.910887485742304	36.36363636363637	18013957.0
trim.flexbar.35bp.14_small_RNA_S6_R1_001	98.59293484251533	52.0	33.774329441353665	45.45454545454545	22983933.0
trim.flexbar.35bp.23_S77_R1_001	81.31574383546052	46.0	27.48310704951373	36.36363636363637	20418458.0
trim.flexbar.35bp.24_small_RNA_S7_R1_001	99.70096675406818	49.0	20.597497982852854	54.54545454545454	15238105.0
trim.flexbar.35bp.26_small_RNA_S8_R1_001	99.60744561051705	52.0	31.696401738107912	45.45454545454545	29779739.0
trim.flexbar.35bp.28_small_RNA_S9_R1_001	99.46491443867717	52.0	34.169440009679676	45.45454545454545	20579195.0
trim.flexbar.35bp.35_S78_R1_001	78.94428973038058	47.0	27.14263454664612	36.36363636363637	18792516.0
trim.flexbar.35bp.36_small_RNA_S10_R1_001	99.74441709095068	49.0	23.97877522121487	54.54545454545454	20592535.0
trim.flexbar.35bp.37_small_RNA_S11_R1_001	99.74219314675662	56.0	20.031108234468803	45.45454545454545	18149246.0
trim.flexbar.35bp.39_small_RNA_S12_R1_001	99.49266783457432	50.0	33.995790132566626	45.45454545454545	15148458.0
trim.flexbar.35bp.47_small_RNA_S13_R1_001	99.75669283069442	51.0	21.465472441054615	45.45454545454545	57405680.0
trim.flexbar.35bp.48_small_RNA_S14_R1_001	99.5846542385914	53.0	33.6563609118564	45.45454545454545	23820154.0
trim.flexbar.35bp.51_small_RNA_S15_R1_001	99.48921283725431	47.0	34.241815849624764	45.45454545454545	15857877.0
trim.flexbar.35bp.52_S79_R1_001	81.09422964266902	48.0	27.657088415475318	36.36363636363637	22109116.0
trim.flexbar.35bp.60_S80_R1_001	81.54223951008197	49.0	26.27543951448951	36.36363636363637	14726932.0
trim.flexbar.35bp.61_small_RNA_S16_R1_001	99.57683178261198	56.0	34.12789785535571	45.45454545454545	21442064.0
trim.flexbar.35bp.62_small_RNA_S17_R1_001	99.61106884304112	54.0	31.0742149237805	45.45454545454545	12666509.0
trim.flexbar.35bp.63_small_RNA_S18_R1_001	98.92971264754537	47.0	33.87951160517846	45.45454545454545	14685987.0
trim.flexbar.35bp.6_small_RNA_S1_R1_001	98.88452549865742	54.0	34.70843416317783	45.45454545454545	16391063.0
trim.flexbar.35bp.72_S81_R1_001	85.59267769828949	55.0	25.9732983234587	27.27272727272727	17626646.0
trim.flexbar.35bp.73_small_RNA_S19_R1_001	99.42944449184675	54.0	21.26584198602757	45.45454545454545	5016164.0
trim.flexbar.35bp.74_small_RNA_S20_R1_001	99.45290436587786	56.0	34.25317869652894	45.45454545454545	20074738.0
trim.flexbar.35bp.75_small_RNA_S21_R1_001	98.36981800766769	52.0	32.79000288665866	45.45454545454545	23958496.0
trim.flexbar.35bp.7_small_RNA_S2_R1_001	99.65519794659427	55.0	22.93686256983771	45.45454545454545	26105703.0
trim.flexbar.35bp.85_S82_R1_001	87.67219651736352	57.0	25.12946279975259	27.27272727272727	14366598.0
trim.flexbar.35bp.86_small_RNA_S22_R1_001	99.41299185711856	53.0	30.807985223922945	45.45454545454545	13903555.0
trim.flexbar.35bp.87_small_RNA_S23_R1_001	98.17576195598653	52.0	33.57049762935613	45.45454545454545	21859884.0
trim.flexbar.35bp.88_small_RNA_S24_R1_001	99.47558860002421	50.0	34.148434776797075	45.45454545454545	22219355.0
trim.flexbar.35bp.8_small_RNA_S3_R1_001	98.87465517232522	51.0	33.70946646165221	45.45454545454545	20914298.0
trim.flexbar.35bp.9_S75_R1_001	84.04243430911238	46.0	26.53725903307578	36.36363636363637	17402129.0
