Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
trim.flexbar.75bp.10_small_RNA_S4_R1_001	87.8937442975067	60.0	42.758162657409216	45.45454545454545	17319666.0
trim.flexbar.75bp.11_small_RNA_S5_R1_001	89.16838958661384	65.0	44.371916015776485	45.45454545454545	8702825.0
trim.flexbar.75bp.13_S76_R1_001	75.33955183904293	47.0	27.54546455284644	45.45454545454545	18013957.0
trim.flexbar.75bp.14_small_RNA_S6_R1_001	87.9450382816205	73.0	68.89527114441205	45.45454545454545	22983933.0
trim.flexbar.75bp.23_S77_R1_001	80.9263925126224	46.0	27.813593269384004	45.45454545454545	20418458.0
trim.flexbar.75bp.24_small_RNA_S7_R1_001	97.8991721856891	54.0	23.40400345056029	54.54545454545454	15238105.0
trim.flexbar.75bp.26_small_RNA_S8_R1_001	89.68110895569936	69.0	61.22625312464962	54.54545454545454	29779739.0
trim.flexbar.75bp.28_small_RNA_S9_R1_001	87.68124121750847	72.0	70.70493690350861	45.45454545454545	20579195.0
trim.flexbar.75bp.35_S78_R1_001	78.44006628026739	47.0	27.58567963970338	45.45454545454545	18792516.0
trim.flexbar.75bp.36_small_RNA_S10_R1_001	91.09922969148211	57.0	35.356455822461875	54.54545454545454	20592535.0
trim.flexbar.75bp.37_small_RNA_S11_R1_001	98.890050978533	57.0	20.078125449398833	54.54545454545454	18149246.0
trim.flexbar.75bp.39_small_RNA_S12_R1_001	85.28856264735165	70.0	70.24615970813663	54.54545454545454	15148458.0
trim.flexbar.75bp.47_small_RNA_S13_R1_001	97.02991800018934	58.0	26.40440736874818	54.54545454545454	57405680.0
trim.flexbar.75bp.48_small_RNA_S14_R1_001	86.73322186681692	71.0	69.22375287750029	54.54545454545454	23820154.0
trim.flexbar.75bp.51_small_RNA_S15_R1_001	58.10546387612916	61.0	71.30071131211322	45.45454545454545	15857877.0
trim.flexbar.75bp.52_S79_R1_001	80.61450117100728	48.0	28.374505520709196	45.45454545454545	22109116.0
trim.flexbar.75bp.60_S80_R1_001	81.2063221317913	49.0	26.313799235305765	45.45454545454545	14726932.0
trim.flexbar.75bp.61_small_RNA_S16_R1_001	81.23700993131047	72.0	70.90823112924204	54.54545454545454	21442064.0
trim.flexbar.75bp.62_small_RNA_S17_R1_001	86.57252944988353	70.0	60.120835188290634	54.54545454545454	12666509.0
trim.flexbar.75bp.63_small_RNA_S18_R1_001	85.9993185751832	69.0	69.4113220990867	45.45454545454545	14685987.0
trim.flexbar.75bp.6_small_RNA_S1_R1_001	85.05633927406646	74.0	72.76001586962359	45.45454545454545	16391063.0
trim.flexbar.75bp.72_S81_R1_001	85.16349809488284	55.0	26.12314719431025	36.36363636363637	17626646.0
trim.flexbar.75bp.73_small_RNA_S19_R1_001	98.25230993245037	62.0	25.598579711508634	45.45454545454545	5016164.0
trim.flexbar.75bp.74_small_RNA_S20_R1_001	85.79455916349828	73.0	71.26028135460598	45.45454545454545	20074738.0
trim.flexbar.75bp.75_small_RNA_S21_R1_001	87.10687129733606	71.0	64.29662387822675	45.45454545454545	23958496.0
trim.flexbar.75bp.7_small_RNA_S2_R1_001	96.17431459908583	65.0	31.352666580172155	54.54545454545454	26105703.0
trim.flexbar.75bp.85_S82_R1_001	87.13983309375122	57.0	25.457434529733483	36.36363636363637	14366598.0
trim.flexbar.75bp.86_small_RNA_S22_R1_001	75.00996402209566	66.0	58.98741278759282	54.54545454545454	13903555.0
trim.flexbar.75bp.87_small_RNA_S23_R1_001	89.43448329082186	73.0	67.87366273306849	45.45454545454545	21859884.0
trim.flexbar.75bp.88_small_RNA_S24_R1_001	74.83898791220152	67.0	70.5858930648527	45.45454545454545	22219355.0
trim.flexbar.75bp.8_small_RNA_S3_R1_001	82.29699886318626	70.0	68.53142170968397	54.54545454545454	20914298.0
trim.flexbar.75bp.9_S75_R1_001	83.65933289834038	46.0	26.739854186806685	45.45454545454545	17402129.0
