"","miRNA","mRNA","PCC.cor","p_value","adjusted_p_value","score","energy","query_start_end","subject_start_end","total_bp_shared","query_similar","subject_similar"
"1","Montipora_capitata_HIv3___Scaffold_2_97469","Montipora_capitata_HIv3___RNAseq.g17208.t1",0.718381244484376,0.0447079712219248,0.189814250157436,157,-21.93,"2 23","265 284",21,"71.43%","76.19%"
"2","Montipora_capitata_HIv3___Scaffold_9_606515","Montipora_capitata_HIv3___RNAseq.g41943.t1",-0.802666882987614,0.016479606791427,0.121744380763827,151,-20.05,"2 22","16 38",20,"65.00%","75.00%"
"3","Montipora_capitata_HIv3___Scaffold_14_1007097","Montipora_capitata_HIv3___TS.g13270.t1",0.787973868174793,0.0202005170370303,0.132913621019959,149,-22.28,"2 14","156 173",12,"83.33%","83.33%"
"4","Montipora_capitata_HIv3___Scaffold_8_536899","Montipora_capitata_HIv3___RNAseq.g45415.t1",0.850772843758801,0.00740569708326695,0.0886816667534067,162,-20.82,"2 21","35 59",21,"71.43%","85.71%"
"5","Montipora_capitata_HIv3___Scaffold_9_617400","Montipora_capitata_HIv3___RNAseq.g25533.t1",0.728024366220662,0.0405942779007604,0.181514375884013,157,-23.88,"2 23","225 250",23,"69.57%","69.57%"
"6","Montipora_capitata_HIv3___Scaffold_10_624116","Montipora_capitata_HIv3___RNAseq.g18328.t1",-0.866300626080087,0.00539175919510709,0.0789562146617801,155,-23.85,"2 17","454 473",16,"68.75%","93.75%"
"7","Montipora_capitata_HIv3___Scaffold_8_571913","Montipora_capitata_HIv3___TS.g33549.t1",0.962161170169037,0.000131627285293379,0.0309462980531405,148,-21.27,"2 23","338 357",21,"66.67%","76.19%"
"8","Montipora_capitata_HIv3___Scaffold_7_451889","Montipora_capitata_HIv3___TS.g22268.t4",-0.712590711999801,0.0472944381361324,0.194870560131077,160,-22.92,"2 23","762 791",27,"66.67%","74.07%"
"9","Montipora_capitata_HIv3___Scaffold_10_659884","Montipora_capitata_HIv3___RNAseq.g6847.t1",-0.736124747222461,0.0373232729393377,0.174540696908696,159,-21.44,"2 20","770 793",18,"72.22%","77.78%"
"10","Montipora_capitata_HIv3___Scaffold_5_303930","Montipora_capitata_HIv3___RNAseq.g6399.t1",0.87453929721529,0.00448410723010269,0.0740916000345048,155,-22,"2 16","202 224",14,"78.57%","85.71%"
"11","Montipora_capitata_HIv3___Scaffold_13_939196","Montipora_capitata_HIv3___RNAseq.g11732.t1",-0.80951270915337,0.014905140385987,0.116765164960568,148,-20.14,"2 15","363 383",13,"84.62%","84.62%"
"12","Montipora_capitata_HIv3___Scaffold_8_503090","Montipora_capitata_HIv3___RNAseq.g35211.t1",0.948667126644882,0.000325277986171039,0.0361623102751619,144,-20.3,"2 20","49 73",20,"70.00%","70.00%"
"13","Montipora_capitata_HIv3___Scaffold_11_742252","Montipora_capitata_HIv3___RNAseq.g44432.t1",-0.891092935520778,0.00297127354198949,0.0645121271406515,172,-22.93,"2 17","521 538",15,"93.33%","93.33%"
"14","Montipora_capitata_HIv3___Scaffold_11_742252","Montipora_capitata_HIv3___RNAseq.g44432.t1",-0.891092935520778,0.00297127354198949,0.0645121271406515,172,-24.48,"2 17","368 385",15,"93.33%","93.33%"
"15","Montipora_capitata_HIv3___Scaffold_11_742252","Montipora_capitata_HIv3___RNAseq.g44432.t1",-0.891092935520778,0.00297127354198949,0.0645121271406515,176,-29.46,"2 17","572 589",15,"93.33%","100.00%"
"16","Montipora_capitata_HIv3___Scaffold_11_742252","Montipora_capitata_HIv3___RNAseq.g44432.t1",-0.891092935520778,0.00297127354198949,0.0645121271406515,180,-28.17,"2 17","473 490",15,"100.00%","100.00%"
"17","Montipora_capitata_HIv3___Scaffold_11_742252","Montipora_capitata_HIv3___RNAseq.g44432.t1",-0.891092935520778,0.00297127354198949,0.0645121271406515,180,-29.96,"2 17","452 469",15,"100.00%","100.00%"
"18","Montipora_capitata_HIv3___Scaffold_11_742252","Montipora_capitata_HIv3___RNAseq.g44432.t1",-0.891092935520778,0.00297127354198949,0.0645121271406515,180,-29.97,"2 17","389 406",15,"100.00%","100.00%"
"19","Montipora_capitata_HIv3___Scaffold_11_742252","Montipora_capitata_HIv3___RNAseq.g44432.t1",-0.891092935520778,0.00297127354198949,0.0645121271406515,180,-29.97,"2 17","431 448",15,"100.00%","100.00%"
"20","Montipora_capitata_HIv3___Scaffold_11_742252","Montipora_capitata_HIv3___RNAseq.g44432.t1",-0.891092935520778,0.00297127354198949,0.0645121271406515,180,-29.97,"2 17","557 574",15,"100.00%","100.00%"
"21","Montipora_capitata_HIv3___Scaffold_11_742252","Montipora_capitata_HIv3___RNAseq.g44432.t1",-0.891092935520778,0.00297127354198949,0.0645121271406515,180,-29.97,"2 17","659 676",15,"100.00%","100.00%"
"22","Montipora_capitata_HIv3___Scaffold_11_742252","Montipora_capitata_HIv3___RNAseq.g44432.t1",-0.891092935520778,0.00297127354198949,0.0645121271406515,180,-29.97,"2 17","677 694",15,"100.00%","100.00%"
"23","Montipora_capitata_HIv3___Scaffold_11_742252","Montipora_capitata_HIv3___RNAseq.g44432.t1",-0.891092935520778,0.00297127354198949,0.0645121271406515,180,-29.97,"2 17","833 850",15,"100.00%","100.00%"
"24","Montipora_capitata_HIv3___Scaffold_11_742252","Montipora_capitata_HIv3___RNAseq.g44432.t1",-0.891092935520778,0.00297127354198949,0.0645121271406515,180,-29.97,"2 17","851 868",15,"100.00%","100.00%"
"25","Montipora_capitata_HIv3___Scaffold_11_742252","Montipora_capitata_HIv3___RNAseq.g44432.t1",-0.891092935520778,0.00297127354198949,0.0645121271406515,180,-29.97,"2 17","869 886",15,"100.00%","100.00%"
"26","Montipora_capitata_HIv3___Scaffold_11_742252","Montipora_capitata_HIv3___RNAseq.g44432.t1",-0.891092935520778,0.00297127354198949,0.0645121271406515,180,-29.97,"2 17","887 904",15,"100.00%","100.00%"
"27","Montipora_capitata_HIv3___Scaffold_11_742252","Montipora_capitata_HIv3___RNAseq.g44432.t1",-0.891092935520778,0.00297127354198949,0.0645121271406515,180,-29.97,"2 17","905 922",15,"100.00%","100.00%"
"28","Montipora_capitata_HIv3___Scaffold_14_1001044","Montipora_capitata_HIv3___RNAseq.g45317.t1a",-0.749933815177635,0.0321282504314619,0.162903514030739,157,-20.07,"2 16","59 75",14,"85.71%","92.86%"
"29","Montipora_capitata_HIv3___Scaffold_14_1001054","Montipora_capitata_HIv3___RNAseq.g45317.t1a",-0.749933815177635,0.0321282504314619,0.162903514030739,157,-20.07,"2 16","59 75",14,"85.71%","92.86%"
"30","Montipora_capitata_HIv3___Scaffold_4_288176","Montipora_capitata_HIv3___RNAseq.g26489.t1",-0.708699135282233,0.0490822060174539,0.198365799372683,168,-21.29,"2 23","696 716",21,"85.71%","85.71%"
"31","Montipora_capitata_HIv3___Scaffold_11_793245","Montipora_capitata_HIv3___RNAseq.g12966.t1",0.719213153086252,0.0443435819648933,0.189081963114235,157,-22.13,"2 20","425 447",18,"72.22%","83.33%"
"32","Montipora_capitata_HIv3___Scaffold_4_288176","Montipora_capitata_HIv3___TS.g42423.t1",-0.79405019880265,0.0186042741763544,0.12826687368607,160,-21.83,"2 20","128 149",18,"77.78%","83.33%"
"33","Montipora_capitata_HIv3___Scaffold_7_451889","Montipora_capitata_HIv3___TS.g40797.t1b",0.913933153027858,0.00149273856243433,0.0525574437337875,172,-23.59,"2 23","786 808",21,"76.19%","85.71%"
"34","Montipora_capitata_HIv3___Scaffold_8_536899","Montipora_capitata_HIv3___TS.g40797.t1b",0.969414000050001,6.9902367394757e-05,0.0279876207591673,164,-21.68,"2 22","248 271",21,"71.43%","80.95%"
"35","Montipora_capitata_HIv3___Scaffold_7_451889","Montipora_capitata_HIv3___RNAseq.g48664.t1b",0.901758824959898,0.00219917347841273,0.0588537096856208,170,-22.88,"2 23","429 452",21,"66.67%","85.71%"
"36","Montipora_capitata_HIv3___Scaffold_13_939196","Montipora_capitata_HIv3___TS.g35686.t1",-0.799924020946883,0.0171384691450535,0.123807306800534,167,-25.21,"2 21","935 958",21,"71.43%","85.71%"
"37","Montipora_capitata_HIv3___Scaffold_11_832609","Montipora_capitata_HIv3___RNAseq.g27571.t1",0.827649886753296,0.0112015626619507,0.104002975261875,145,-20.5,"2 10","259 281",8,"100.00%","100.00%"
"38","Montipora_capitata_HIv3___Scaffold_7_451889","Montipora_capitata_HIv3___RNAseq.g17478.t1",0.760849271970854,0.0283545499987232,0.153996364074252,160,-23.95,"2 19","84 109",19,"73.68%","89.47%"
"39","Montipora_capitata_HIv3___Scaffold_6_396712","Montipora_capitata_HIv3___RNAseq.g45163.t1",0.814796326082908,0.0137571410811962,0.112980916074499,158,-26.57,"2 24","733 759",24,"58.33%","79.17%"
"40","Montipora_capitata_HIv3___Scaffold_9_606515","Montipora_capitata_HIv3___RNAseq.g39912.t1",-0.751682231205406,0.0315042397534148,0.161448710351071,148,-21.61,"2 23","352 379",25,"64.00%","68.00%"
"41","Montipora_capitata_HIv3___Scaffold_14_984317","Montipora_capitata_HIv3___TS.g14498.t1",0.918207419171028,0.00128544072072882,0.0502903892847892,163,-20.29,"2 20","60 81",18,"72.22%","83.33%"
"42","Montipora_capitata_HIv3___Scaffold_8_536899","Montipora_capitata_HIv3___RNAseq.g32899.t1",0.715330062801232,0.0460599013289582,0.192445913944069,161,-20.82,"2 22","651 673",20,"65.00%","80.00%"
"43","Montipora_capitata_HIv3___Scaffold_2_66515","Montipora_capitata_HIv3___RNAseq.g18322.t1",0.927205281432896,0.000912477208438307,0.0459802863817153,159,-21.22,"2 22","631 653",20,"65.00%","85.00%"
"44","Montipora_capitata_HIv3___Scaffold_9_606515","Montipora_capitata_HIv3___TS.g26667.t4",-0.822422246930559,0.0122010265665116,0.107598977180429,153,-31.56,"2 23","529 554",23,"65.22%","69.57%"
"45","Montipora_capitata_HIv3___Scaffold_2_63883","Montipora_capitata_HIv3___RNAseq.g6925.t1",0.910101077639372,0.00169610131973968,0.0544511022675938,160,-20.6,"2 22","117 141",21,"66.67%","80.95%"
"46","Montipora_capitata_HIv3___Scaffold_9_611209","Montipora_capitata_HIv3___RNAseq.g39830.t1",0.776627403241441,0.0234037596727675,0.141633159056691,159,-21.31,"2 22","761 786",23,"69.57%","78.26%"
"47","Montipora_capitata_HIv3___Scaffold_14_981912","Montipora_capitata_HIv3___TS.g15753.t2",-0.728525472894437,0.0403870650838518,0.181096991456097,165,-23.47,"2 24","743 770",25,"64.00%","84.00%"
"48","Montipora_capitata_HIv3___Scaffold_14_1001044","Montipora_capitata_HIv3___RNAseq.g36924.t1",-0.74301551322736,0.0346714472226462,0.168722705535962,168,-22.19,"2 17","243 260",15,"86.67%","93.33%"
"49","Montipora_capitata_HIv3___Scaffold_14_1001054","Montipora_capitata_HIv3___RNAseq.g36924.t1",-0.74301551322736,0.0346714472226462,0.168722705535962,168,-22.19,"2 17","243 260",15,"86.67%","93.33%"
"50","Montipora_capitata_HIv3___Scaffold_8_580085","Montipora_capitata_HIv3___RNAseq.g36924.t1",0.88221364771402,0.00373291560164154,0.0696323257009376,160,-20.14,"2 23","20 42",21,"71.43%","76.19%"
"51","Montipora_capitata_HIv3___Scaffold_6_434354","Montipora_capitata_HIv3___TS.g47225.t1",0.756936948942564,0.0296738349163381,0.15719059878417,158,-24.5,"2 20","847 870",19,"73.68%","78.95%"
"52","Montipora_capitata_HIv3___Scaffold_11_832609","Montipora_capitata_HIv3___TS.g45646.t2",0.712154121253697,0.0474930171454564,0.195290534277134,146,-22.25,"2 18","842 862",16,"75.00%","75.00%"
