Accession	Sample Name	SPUID	Organism	Tax ID	Breed	Isolate	
SAMN48057311	6	6	Montipora capitata	46704	Not applicable	Coral host	
SAMN48057312	7	7	Montipora capitata	46704	Not applicable	Coral host	
SAMN48057313	8	8	Montipora capitata	46704	Not applicable	Coral host	
SAMN48057314	9	9	Montipora capitata	46704	Not applicable	Coral host	
SAMN48057315	13	13	Montipora capitata	46704	Not applicable	Coral host	
SAMN48057316	10	10	Montipora capitata	46704	Not applicable	Coral host	
SAMN48057317	11	11	Montipora capitata	46704	Not applicable	Coral host	
SAMN48057318	14	14	Montipora capitata	46704	Not applicable	Coral host	
SAMN48057319	23	23	Montipora capitata	46704	Not applicable	Coral host	
SAMN48057320	24	24	Montipora capitata	46704	Not applicable	Coral host	
SAMN48057321	26	26	Montipora capitata	46704	Not applicable	Coral host	
SAMN48057322	28	28	Montipora capitata	46704	Not applicable	Coral host	
SAMN48057323	35	35	Montipora capitata	46704	Not applicable	Coral host	
SAMN48057324	36	36	Montipora capitata	46704	Not applicable	Coral host	
SAMN48057325	37	37	Montipora capitata	46704	Not applicable	Coral host	
SAMN48057326	39	39	Montipora capitata	46704	Not applicable	Coral host	
SAMN48057327	52	52	Montipora capitata	46704	Not applicable	Coral host	
SAMN48057328	47	47	Montipora capitata	46704	Not applicable	Coral host	
SAMN48057329	48	48	Montipora capitata	46704	Not applicable	Coral host	
SAMN48057330	51	51	Montipora capitata	46704	Not applicable	Coral host	
SAMN48057331	60	60	Montipora capitata	46704	Not applicable	Coral host	
SAMN48057332	61	61	Montipora capitata	46704	Not applicable	Coral host	
SAMN48057333	62	62	Montipora capitata	46704	Not applicable	Coral host	
SAMN48057334	63	63	Montipora capitata	46704	Not applicable	Coral host	
SAMN48057335	72	72	Montipora capitata	46704	Not applicable	Coral host	
SAMN48057336	73	73	Montipora capitata	46704	Not applicable	Coral host	
SAMN48057337	74	74	Montipora capitata	46704	Not applicable	Coral host	
SAMN48057338	75	75	Montipora capitata	46704	Not applicable	Coral host	
SAMN48057339	85	85	Montipora capitata	46704	Not applicable	Coral host	
SAMN48057340	86	86	Montipora capitata	46704	Not applicable	Coral host	
SAMN48057341	87	87	Montipora capitata	46704	Not applicable	Coral host	
SAMN48057342	88	88	Montipora capitata	46704	Not applicable	Coral host	
