sample_name	library_ID	title	library_strategy (click for details)	library_source (click for details)	library_selection (click for details)	library_layout	platform (click for details)	instrument_model	design_description	filetype	filename	filename2	filename3	filename4	assembly	fasta_file
6_miRNA_Zymo_libraries	6_miRNA_Zymo_libraries	smRNA-seq (Zymo libraries) of Montipora capitata: 6_1phf	miRNA-Seq	TRANSCRIPTOMIC	size fractionation	paired	ILLUMINA	Illumina NovaSeq X Plus	150-190 ng of total RNA was used as input for miRNA library prep using the Zymo-Seq miRNA Library Kit (R3006) with 22 cycles of index PCR amplification (95°C for 30 seconds, 62°C for 30 seconds, 72°C for 30 seconds). Small RNA-sequencing was performed on an Illumina NovaSeq X Plus in a 2x150 bp configuration at the Oklahoma Medical Research Foundation NGS Core. miRNA library prep on the majority of samples (n=3 per time point) failed to generate adequate libraries, leaving us with n=1 for miRNA sequencing. We suspect that the Zymo-Seq miRNA Library Kit (R3006) was insufficient and did not perform sequence amplification properly. Notably, this kit is no longer available for purchase on the Zymo website (https://www.zymoresearch.com/pages/ngs-library-prep-kits; accessed on 3/5/25), suggesting significant issues with its reliability. 	fastq	6_small_RNA_S1_R1_001.fastq.gz	6_small_RNA_S1_R2_001.fastq.gz				
7_miRNA_Zymo_libraries	7_miRNA_Zymo_libraries	smRNA-seq (Zymo libraries) of Montipora capitata: 7_1phf	miRNA-Seq	TRANSCRIPTOMIC	size fractionation	paired	ILLUMINA	Illumina NovaSeq X Plus	150-190 ng of total RNA was used as input for miRNA library prep using the Zymo-Seq miRNA Library Kit (R3006) with 22 cycles of index PCR amplification (95°C for 30 seconds, 62°C for 30 seconds, 72°C for 30 seconds). Small RNA-sequencing was performed on an Illumina NovaSeq X Plus in a 2x150 bp configuration at the Oklahoma Medical Research Foundation NGS Core. miRNA library prep on the majority of samples (n=3 per time point) failed to generate adequate libraries, leaving us with n=1 for miRNA sequencing. We suspect that the Zymo-Seq miRNA Library Kit (R3006) was insufficient and did not perform sequence amplification properly. Notably, this kit is no longer available for purchase on the Zymo website (https://www.zymoresearch.com/pages/ngs-library-prep-kits; accessed on 3/5/25), suggesting significant issues with its reliability. 	fastq	7_small_RNA_S2_R1_001.fastq.gz	7_small_RNA_S2_R2_001.fastq.gz				
8_miRNA_Zymo_libraries	8_miRNA_Zymo_libraries	smRNA-seq (Zymo libraries) of Montipora capitata: 8_1phf	miRNA-Seq	TRANSCRIPTOMIC	size fractionation	paired	ILLUMINA	Illumina NovaSeq X Plus	150-190 ng of total RNA was used as input for miRNA library prep using the Zymo-Seq miRNA Library Kit (R3006) with 22 cycles of index PCR amplification (95°C for 30 seconds, 62°C for 30 seconds, 72°C for 30 seconds). Small RNA-sequencing was performed on an Illumina NovaSeq X Plus in a 2x150 bp configuration at the Oklahoma Medical Research Foundation NGS Core. miRNA library prep on the majority of samples (n=3 per time point) failed to generate adequate libraries, leaving us with n=1 for miRNA sequencing. We suspect that the Zymo-Seq miRNA Library Kit (R3006) was insufficient and did not perform sequence amplification properly. Notably, this kit is no longer available for purchase on the Zymo website (https://www.zymoresearch.com/pages/ngs-library-prep-kits; accessed on 3/5/25), suggesting significant issues with its reliability. 	fastq	8_small_RNA_S3_R1_001.fastq.gz	8_small_RNA_S3_R2_001.fastq.gz				
9_miRNA_Zymo_libraries	9_miRNA_Zymo_libraries	smRNA-seq (Zymo libraries) of Montipora capitata: 9_1phf	miRNA-Seq	TRANSCRIPTOMIC	size fractionation	paired	ILLUMINA	Illumina NovaSeq X Plus	150-190 ng of total RNA was used as input for miRNA library prep using the Zymo-Seq miRNA Library Kit (R3006) with 22 cycles of index PCR amplification (95°C for 30 seconds, 62°C for 30 seconds, 72°C for 30 seconds). Small RNA-sequencing was performed on an Illumina NovaSeq X Plus in a 2x150 bp configuration at the Oklahoma Medical Research Foundation NGS Core. miRNA library prep on the majority of samples (n=3 per time point) failed to generate adequate libraries, leaving us with n=1 for miRNA sequencing. We suspect that the Zymo-Seq miRNA Library Kit (R3006) was insufficient and did not perform sequence amplification properly. Notably, this kit is no longer available for purchase on the Zymo website (https://www.zymoresearch.com/pages/ngs-library-prep-kits; accessed on 3/5/25), suggesting significant issues with its reliability. 	fastq	9_S75_R1_001.fastq.gz	9_S75_R2_001.fastq.gz				
13_miRNA_Zymo_libraries	13_miRNA_Zymo_libraries	smRNA-seq (Zymo libraries) of Montipora capitata: 13_4phf	miRNA-Seq	TRANSCRIPTOMIC	size fractionation	paired	ILLUMINA	Illumina NovaSeq X Plus	150-190 ng of total RNA was used as input for miRNA library prep using the Zymo-Seq miRNA Library Kit (R3006) with 22 cycles of index PCR amplification (95°C for 30 seconds, 62°C for 30 seconds, 72°C for 30 seconds). Small RNA-sequencing was performed on an Illumina NovaSeq X Plus in a 2x150 bp configuration at the Oklahoma Medical Research Foundation NGS Core. miRNA library prep on the majority of samples (n=3 per time point) failed to generate adequate libraries, leaving us with n=1 for miRNA sequencing. We suspect that the Zymo-Seq miRNA Library Kit (R3006) was insufficient and did not perform sequence amplification properly. Notably, this kit is no longer available for purchase on the Zymo website (https://www.zymoresearch.com/pages/ngs-library-prep-kits; accessed on 3/5/25), suggesting significant issues with its reliability. 	fastq	13_S76_R1_001.fastq.gz 	13_S76_R2_001.fastq.gz 				
10_miRNA_Zymo_libraries	10_miRNA_Zymo_libraries	smRNA-seq (Zymo libraries) of Montipora capitata: 10_4phf	miRNA-Seq	TRANSCRIPTOMIC	size fractionation	paired	ILLUMINA	Illumina NovaSeq X Plus	150-190 ng of total RNA was used as input for miRNA library prep using the Zymo-Seq miRNA Library Kit (R3006) with 22 cycles of index PCR amplification (95°C for 30 seconds, 62°C for 30 seconds, 72°C for 30 seconds). Small RNA-sequencing was performed on an Illumina NovaSeq X Plus in a 2x150 bp configuration at the Oklahoma Medical Research Foundation NGS Core. miRNA library prep on the majority of samples (n=3 per time point) failed to generate adequate libraries, leaving us with n=1 for miRNA sequencing. We suspect that the Zymo-Seq miRNA Library Kit (R3006) was insufficient and did not perform sequence amplification properly. Notably, this kit is no longer available for purchase on the Zymo website (https://www.zymoresearch.com/pages/ngs-library-prep-kits; accessed on 3/5/25), suggesting significant issues with its reliability. 	fastq	10_small_RNA_S4_R1_001.fastq.gz 	10_small_RNA_S4_R2_001.fastq.gz 				
11_miRNA_Zymo_libraries	11_miRNA_Zymo_libraries	smRNA-seq (Zymo libraries) of Montipora capitata: 11_4phf	miRNA-Seq	TRANSCRIPTOMIC	size fractionation	paired	ILLUMINA	Illumina NovaSeq X Plus	150-190 ng of total RNA was used as input for miRNA library prep using the Zymo-Seq miRNA Library Kit (R3006) with 22 cycles of index PCR amplification (95°C for 30 seconds, 62°C for 30 seconds, 72°C for 30 seconds). Small RNA-sequencing was performed on an Illumina NovaSeq X Plus in a 2x150 bp configuration at the Oklahoma Medical Research Foundation NGS Core. miRNA library prep on the majority of samples (n=3 per time point) failed to generate adequate libraries, leaving us with n=1 for miRNA sequencing. We suspect that the Zymo-Seq miRNA Library Kit (R3006) was insufficient and did not perform sequence amplification properly. Notably, this kit is no longer available for purchase on the Zymo website (https://www.zymoresearch.com/pages/ngs-library-prep-kits; accessed on 3/5/25), suggesting significant issues with its reliability. 	fastq	11_small_RNA_S5_R1_001.fastq.gz	11_small_RNA_S5_R2_001.fastq.gz				
14_miRNA_Zymo_libraries	14_miRNA_Zymo_libraries	smRNA-seq (Zymo libraries) of Montipora capitata: 14_4phf	miRNA-Seq	TRANSCRIPTOMIC	size fractionation	paired	ILLUMINA	Illumina NovaSeq X Plus	150-190 ng of total RNA was used as input for miRNA library prep using the Zymo-Seq miRNA Library Kit (R3006) with 22 cycles of index PCR amplification (95°C for 30 seconds, 62°C for 30 seconds, 72°C for 30 seconds). Small RNA-sequencing was performed on an Illumina NovaSeq X Plus in a 2x150 bp configuration at the Oklahoma Medical Research Foundation NGS Core. miRNA library prep on the majority of samples (n=3 per time point) failed to generate adequate libraries, leaving us with n=1 for miRNA sequencing. We suspect that the Zymo-Seq miRNA Library Kit (R3006) was insufficient and did not perform sequence amplification properly. Notably, this kit is no longer available for purchase on the Zymo website (https://www.zymoresearch.com/pages/ngs-library-prep-kits; accessed on 3/5/25), suggesting significant issues with its reliability. 	fastq	14_small_RNA_S6_R1_001.fastq.gz	14_small_RNA_S6_R2_001.fastq.gz				
23_miRNA_Zymo_libraries	23_miRNA_Zymo_libraries	smRNA-seq (Zymo libraries) of Montipora capitata: 23_9phf	miRNA-Seq	TRANSCRIPTOMIC	size fractionation	paired	ILLUMINA	Illumina NovaSeq X Plus	150-190 ng of total RNA was used as input for miRNA library prep using the Zymo-Seq miRNA Library Kit (R3006) with 22 cycles of index PCR amplification (95°C for 30 seconds, 62°C for 30 seconds, 72°C for 30 seconds). Small RNA-sequencing was performed on an Illumina NovaSeq X Plus in a 2x150 bp configuration at the Oklahoma Medical Research Foundation NGS Core. miRNA library prep on the majority of samples (n=3 per time point) failed to generate adequate libraries, leaving us with n=1 for miRNA sequencing. We suspect that the Zymo-Seq miRNA Library Kit (R3006) was insufficient and did not perform sequence amplification properly. Notably, this kit is no longer available for purchase on the Zymo website (https://www.zymoresearch.com/pages/ngs-library-prep-kits; accessed on 3/5/25), suggesting significant issues with its reliability. 	fastq	23_S77_R1_001.fastq.gz	23_S77_R2_001.fastq.gz				
24_miRNA_Zymo_libraries	24_miRNA_Zymo_libraries	smRNA-seq (Zymo libraries) of Montipora capitata: 24_9phf	miRNA-Seq	TRANSCRIPTOMIC	size fractionation	paired	ILLUMINA	Illumina NovaSeq X Plus	150-190 ng of total RNA was used as input for miRNA library prep using the Zymo-Seq miRNA Library Kit (R3006) with 22 cycles of index PCR amplification (95°C for 30 seconds, 62°C for 30 seconds, 72°C for 30 seconds). Small RNA-sequencing was performed on an Illumina NovaSeq X Plus in a 2x150 bp configuration at the Oklahoma Medical Research Foundation NGS Core. miRNA library prep on the majority of samples (n=3 per time point) failed to generate adequate libraries, leaving us with n=1 for miRNA sequencing. We suspect that the Zymo-Seq miRNA Library Kit (R3006) was insufficient and did not perform sequence amplification properly. Notably, this kit is no longer available for purchase on the Zymo website (https://www.zymoresearch.com/pages/ngs-library-prep-kits; accessed on 3/5/25), suggesting significant issues with its reliability. 	fastq	24_small_RNA_S7_R1_001.fastq.gz	24_small_RNA_S7_R2_001.fastq.gz				
