Accession	Sample Name	SPUID	Organism	Tax ID	Breed	Isolate	
SAMN48058434	6_miRNA_Zymo_libraries	6_miRNA_Zymo_libraries	Montipora capitata	46704	Not applicable	Coral host	
SAMN48058435	7_miRNA_Zymo_libraries	7_miRNA_Zymo_libraries	Montipora capitata	46704	Not applicable	Coral host	
SAMN48058436	8_miRNA_Zymo_libraries	8_miRNA_Zymo_libraries	Montipora capitata	46704	Not applicable	Coral host	
SAMN48058437	9_miRNA_Zymo_libraries	9_miRNA_Zymo_libraries	Montipora capitata	46704	Not applicable	Coral host	
SAMN48058438	13_miRNA_Zymo_libraries	13_miRNA_Zymo_libraries	Montipora capitata	46704	Not applicable	Coral host	
SAMN48058439	10_miRNA_Zymo_libraries	10_miRNA_Zymo_libraries	Montipora capitata	46704	Not applicable	Coral host	
SAMN48058440	11_miRNA_Zymo_libraries	11_miRNA_Zymo_libraries	Montipora capitata	46704	Not applicable	Coral host	
SAMN48058441	14_miRNA_Zymo_libraries	14_miRNA_Zymo_libraries	Montipora capitata	46704	Not applicable	Coral host	
SAMN48058442	23_miRNA_Zymo_libraries	23_miRNA_Zymo_libraries	Montipora capitata	46704	Not applicable	Coral host	
SAMN48058443	24_miRNA_Zymo_libraries	24_miRNA_Zymo_libraries	Montipora capitata	46704	Not applicable	Coral host	
SAMN48058444	26_miRNA_Zymo_libraries	26_miRNA_Zymo_libraries	Montipora capitata	46704	Not applicable	Coral host	
SAMN48058445	28_miRNA_Zymo_libraries	28_miRNA_Zymo_libraries	Montipora capitata	46704	Not applicable	Coral host	
SAMN48058446	35_miRNA_Zymo_libraries	35_miRNA_Zymo_libraries	Montipora capitata	46704	Not applicable	Coral host	
SAMN48058447	36_miRNA_Zymo_libraries	36_miRNA_Zymo_libraries	Montipora capitata	46704	Not applicable	Coral host	
SAMN48058448	37_miRNA_Zymo_libraries	37_miRNA_Zymo_libraries	Montipora capitata	46704	Not applicable	Coral host	
SAMN48058449	39_miRNA_Zymo_libraries	39_miRNA_Zymo_libraries	Montipora capitata	46704	Not applicable	Coral host	
SAMN48058450	52_miRNA_Zymo_libraries	52_miRNA_Zymo_libraries	Montipora capitata	46704	Not applicable	Coral host	
SAMN48058451	47_miRNA_Zymo_libraries	47_miRNA_Zymo_libraries	Montipora capitata	46704	Not applicable	Coral host	
SAMN48058452	48_miRNA_Zymo_libraries	48_miRNA_Zymo_libraries	Montipora capitata	46704	Not applicable	Coral host	
SAMN48058453	51_miRNA_Zymo_libraries	51_miRNA_Zymo_libraries	Montipora capitata	46704	Not applicable	Coral host	
SAMN48058454	60_miRNA_Zymo_libraries	60_miRNA_Zymo_libraries	Montipora capitata	46704	Not applicable	Coral host	
SAMN48058455	61_miRNA_Zymo_libraries	61_miRNA_Zymo_libraries	Montipora capitata	46704	Not applicable	Coral host	
SAMN48058456	62_miRNA_Zymo_libraries	62_miRNA_Zymo_libraries	Montipora capitata	46704	Not applicable	Coral host	
SAMN48058457	63_miRNA_Zymo_libraries	63_miRNA_Zymo_libraries	Montipora capitata	46704	Not applicable	Coral host	
SAMN48058458	72_miRNA_Zymo_libraries	72_miRNA_Zymo_libraries	Montipora capitata	46704	Not applicable	Coral host	
SAMN48058459	73_miRNA_Zymo_libraries	73_miRNA_Zymo_libraries	Montipora capitata	46704	Not applicable	Coral host	
SAMN48058460	74_miRNA_Zymo_libraries	74_miRNA_Zymo_libraries	Montipora capitata	46704	Not applicable	Coral host	
SAMN48058461	75_miRNA_Zymo_libraries	75_miRNA_Zymo_libraries	Montipora capitata	46704	Not applicable	Coral host	
SAMN48058462	85_miRNA_Zymo_libraries	85_miRNA_Zymo_libraries	Montipora capitata	46704	Not applicable	Coral host	
SAMN48058463	86_miRNA_Zymo_libraries	86_miRNA_Zymo_libraries	Montipora capitata	46704	Not applicable	Coral host	
SAMN48058464	87_miRNA_Zymo_libraries	87_miRNA_Zymo_libraries	Montipora capitata	46704	Not applicable	Coral host	
SAMN48058465	88_miRNA_Zymo_libraries	88_miRNA_Zymo_libraries	Montipora capitata	46704	Not applicable	Coral host	
