sample_name	library_ID	title	library_strategy (click for details)	library_source (click for details)	library_selection (click for details)	library_layout	platform (click for details)	instrument_model	design_description	filetype	filename	filename2	filename3	filename4	assembly	fasta_file
6	6	RNA-seq of Montipora capitata: 6_1phf	RNA-Seq	TRANSCRIPTOMIC	RANDOM PCR	paired	ILLUMINA	Illumina NovaSeq X	Using 150-190 ng of total RNA, rRNA-depleted RNA-Seq libraries were prepared using the Zymo-Seq RiboFree Total RNA Library Kit (R3000) with 15 cycles of library amplification (98°C for 20 seconds, 60°C for 30 seconds, 72°C for 30 seconds). Library concentration and size was determined with an Agilent Tapestation 4200. The libraries were sequenced at the Oklahoma Medical Research Foundation NGS Core on an Illumina NovaSeq X Plus in a 2x150 bp configuration.	fastq	6_RNAseq_S25_R1_001.fastq.gz	6_RNAseq_S25_R2_001.fastq.gz				
7	7	RNA-seq of Montipora capitata: 7_1phf	RNA-Seq	TRANSCRIPTOMIC	RANDOM PCR	paired	ILLUMINA	Illumina NovaSeq X	Using 150-190 ng of total RNA, rRNA-depleted RNA-Seq libraries were prepared using the Zymo-Seq RiboFree Total RNA Library Kit (R3000) with 15 cycles of library amplification (98°C for 20 seconds, 60°C for 30 seconds, 72°C for 30 seconds). Library concentration and size was determined with an Agilent Tapestation 4200. The libraries were sequenced at the Oklahoma Medical Research Foundation NGS Core on an Illumina NovaSeq X Plus in a 2x150 bp configuration.	fastq	7_RNAseq_S26_R1_001.fastq.gz	7_RNAseq_S26_R2_001.fastq.gz				
8	8	RNA-seq of Montipora capitata: 8_1phf	RNA-Seq	TRANSCRIPTOMIC	RANDOM PCR	paired	ILLUMINA	Illumina NovaSeq X	Using 150-190 ng of total RNA, rRNA-depleted RNA-Seq libraries were prepared using the Zymo-Seq RiboFree Total RNA Library Kit (R3000) with 15 cycles of library amplification (98°C for 20 seconds, 60°C for 30 seconds, 72°C for 30 seconds). Library concentration and size was determined with an Agilent Tapestation 4200. The libraries were sequenced at the Oklahoma Medical Research Foundation NGS Core on an Illumina NovaSeq X Plus in a 2x150 bp configuration.	fastq	8_RNAseq_S27_R1_001.fastq.gz	8_RNAseq_S27_R2_001.fastq.gz				
9	9	RNA-seq of Montipora capitata: 9_1phf	RNA-Seq	TRANSCRIPTOMIC	RANDOM PCR	paired	ILLUMINA	Illumina NovaSeq X	Using 150-190 ng of total RNA, rRNA-depleted RNA-Seq libraries were prepared using the Zymo-Seq RiboFree Total RNA Library Kit (R3000) with 15 cycles of library amplification (98°C for 20 seconds, 60°C for 30 seconds, 72°C for 30 seconds). Library concentration and size was determined with an Agilent Tapestation 4200. The libraries were sequenced at the Oklahoma Medical Research Foundation NGS Core on an Illumina NovaSeq X Plus in a 2x150 bp configuration.	fastq	9_S30_R1_001.fastq.gz	9_S30_R2_001.fastq.gz				
13	13	RNA-seq of Montipora capitata: 13_4phf	RNA-Seq	TRANSCRIPTOMIC	RANDOM PCR	paired	ILLUMINA	Illumina NovaSeq X	Using 150-190 ng of total RNA, rRNA-depleted RNA-Seq libraries were prepared using the Zymo-Seq RiboFree Total RNA Library Kit (R3000) with 15 cycles of library amplification (98°C for 20 seconds, 60°C for 30 seconds, 72°C for 30 seconds). Library concentration and size was determined with an Agilent Tapestation 4200. The libraries were sequenced at the Oklahoma Medical Research Foundation NGS Core on an Illumina NovaSeq X Plus in a 2x150 bp configuration.	fastq	13_S31_R1_001.fastq.gz 	13_S31_R2_001.fastq.gz 				
10	10	RNA-seq of Montipora capitata: 10_4phf	RNA-Seq	TRANSCRIPTOMIC	RANDOM PCR	paired	ILLUMINA	Illumina NovaSeq X	Using 150-190 ng of total RNA, rRNA-depleted RNA-Seq libraries were prepared using the Zymo-Seq RiboFree Total RNA Library Kit (R3000) with 15 cycles of library amplification (98°C for 20 seconds, 60°C for 30 seconds, 72°C for 30 seconds). Library concentration and size was determined with an Agilent Tapestation 4200. The libraries were sequenced at the Oklahoma Medical Research Foundation NGS Core on an Illumina NovaSeq X Plus in a 2x150 bp configuration.	fastq	10_RNAseq_S28_R1_001.fastq.gz  	10_RNAseq_S28_R2_001.fastq.gz  				
11	11	RNA-seq of Montipora capitata: 11_4phf	RNA-Seq	TRANSCRIPTOMIC	RANDOM PCR	paired	ILLUMINA	Illumina NovaSeq X	Using 150-190 ng of total RNA, rRNA-depleted RNA-Seq libraries were prepared using the Zymo-Seq RiboFree Total RNA Library Kit (R3000) with 15 cycles of library amplification (98°C for 20 seconds, 60°C for 30 seconds, 72°C for 30 seconds). Library concentration and size was determined with an Agilent Tapestation 4200. The libraries were sequenced at the Oklahoma Medical Research Foundation NGS Core on an Illumina NovaSeq X Plus in a 2x150 bp configuration.	fastq	11_RNAseq_S29_R1_001.fastq.gz	11_RNAseq_S29_R2_001.fastq.gz				
14	14	RNA-seq of Montipora capitata: 14_4phf	RNA-Seq	TRANSCRIPTOMIC	RANDOM PCR	paired	ILLUMINA	Illumina NovaSeq X	Using 150-190 ng of total RNA, rRNA-depleted RNA-Seq libraries were prepared using the Zymo-Seq RiboFree Total RNA Library Kit (R3000) with 15 cycles of library amplification (98°C for 20 seconds, 60°C for 30 seconds, 72°C for 30 seconds). Library concentration and size was determined with an Agilent Tapestation 4200. The libraries were sequenced at the Oklahoma Medical Research Foundation NGS Core on an Illumina NovaSeq X Plus in a 2x150 bp configuration.	fastq	14_RNAseq_S30_R1_001.fastq.gz 	14_RNAseq_S30_R2_001.fastq.gz 				
23	23	RNA-seq of Montipora capitata: 23_9phf	RNA-Seq	TRANSCRIPTOMIC	RANDOM PCR	paired	ILLUMINA	Illumina NovaSeq X	Using 150-190 ng of total RNA, rRNA-depleted RNA-Seq libraries were prepared using the Zymo-Seq RiboFree Total RNA Library Kit (R3000) with 15 cycles of library amplification (98°C for 20 seconds, 60°C for 30 seconds, 72°C for 30 seconds). Library concentration and size was determined with an Agilent Tapestation 4200. The libraries were sequenced at the Oklahoma Medical Research Foundation NGS Core on an Illumina NovaSeq X Plus in a 2x150 bp configuration.	fastq	23_S32_R1_001.fastq.gz 	23_S32_R2_001.fastq.gz 				
24	24	RNA-seq of Montipora capitata: 24_9phf	RNA-Seq	TRANSCRIPTOMIC	RANDOM PCR	paired	ILLUMINA	Illumina NovaSeq X	Using 150-190 ng of total RNA, rRNA-depleted RNA-Seq libraries were prepared using the Zymo-Seq RiboFree Total RNA Library Kit (R3000) with 15 cycles of library amplification (98°C for 20 seconds, 60°C for 30 seconds, 72°C for 30 seconds). Library concentration and size was determined with an Agilent Tapestation 4200. The libraries were sequenced at the Oklahoma Medical Research Foundation NGS Core on an Illumina NovaSeq X Plus in a 2x150 bp configuration.	fastq	24_RNAseq_S31_R1_001.fastq.gz 	24_RNAseq_S31_R2_001.fastq.gz 				
